siren,denominationUniteLegale,activitePrincipaleUniteLegale,categorieEntreprise
535420533,CONFRATERNELLE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUE RHIN RHONE MEDITERRANEE,46.46Z,ETI
535720700,COMPAGNIE INDUSTRIELLE DE DELLE,64.20Z,PME
536820269,LISI,70.10Z,ETI
718200611,SOC COOP APPROVISIONNEMENT PARIS NORD,46.17A,ETI
722000965,BMW FRANCE,45.11Z,GE
722003936,MCDONALD'S FRANCE,68.20B,GE
722032778,BASSAC,66.30Z,ETI
722041860,BUT INTERNATIONAL,47.59A,GE
722049459,TRIGANO,70.10Z,GE
722063997,SOC DES ATELIERS LOUIS VUITTON,15.12Z,GE
722065638,TD SYNNEX FRANCE,46.51Z,ETI
729800821,ZODIAC AEROSPACE,70.10Z,
732075312,ACCENTURE,62.02A,GE
784393530,RUBIS,64.20Z,GE
784608416,CREDIT AGRICOLE SA,64.19Z,GE
784939688,PICARD SURGELES,47.11A,GE
785304031,CLAAS TRACTOR SAS,28.30Z,ETI
785386319,BURELLE,66.30Z,ETI
785480351,SUPERMARCHES MATCH,47.11D,GE
799234430,TOTALENERGIES EP ANGOLA BLOCK 32,09.10Z,GE
799292842,CELENA,64.20Z,
799318738,SICA SAS AXEREAL,46.21Z,GE
799339312,EULER HERMES,65.12Z,GE
799403050,AVRIL,70.10Z,GE
799403076,AVRIL GESTION,64.20Z,PME
812053403,WFS ACQUISITION SAS,82.99Z,ETI
812163913,VERALLIA,64.20Z,ETI
812375624,IWIP,46.77Z,GE
821763844,LOCKEED MARTIN GLOBAL INC.,26.40Z,PME
831763743,CONSTELLIUM SE,66.30Z,GE
832277370,VOLKSWAGEN GROUP FRANCE,45.11Z,GE
832509285,BORDEAUX METROPOLE ENERGIES,70.10Z,ETI
844936781,GROUPE SPIE BATIGNOLLES,64.20Z,GE
847120185,SAVENCIA SA,64.20Z,GE
879556363,FINANCIERE SENIOR CINQUS,66.30Z,ETI
880005756,TOTALENERGIES - CENTRALE ELECTRIQUE SAINT-AVOLD,35.11Z,GE
880039243,BPCE ASSURANCES,64.20Z,GE
890897978,TATA SIA AIRLINES LIMITED,51.10Z,ETI
891871048,VIVALTO SANTE HOLDING 3,70.10Z,GE
901528869,SOCIETE DE COORDINATION BRENNUS,66.19B,PME
901644989,SUEZ,82.99Z,GE
901655944,DELPHARM,64.20Z,ETI
911748754,TREVISE HOLDINGS 3,64.20Z,GE
998823504,ADECCO FRANCE,78.20Z,GE
